GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ps14,it.polimi.ingsw.ps14,King,41,0,4,0,13,0,6,0,4,0
ps14,it.polimi.ingsw.ps14,RegionType,60,0,0,0,5,0,4,0,4,0
ps14,it.polimi.ingsw.ps14,Server,5,0,0,0,3,0,3,0,3,0
ps14,it.polimi.ingsw.ps14,PoliticCard,9,0,0,0,4,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,ColorCouncillor,102,0,0,0,11,0,5,0,5,0
ps14,it.polimi.ingsw.ps14,BusinessPermit,15,0,0,0,6,0,3,0,3,0
ps14,it.polimi.ingsw.ps14,Deck,7,0,0,0,3,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,GameBoard,127,0,12,0,29,0,13,0,7,0
ps14,it.polimi.ingsw.ps14,ColorPolitic,100,0,0,0,9,0,4,0,4,0
ps14,it.polimi.ingsw.ps14,ItemForSale,21,0,0,0,8,0,4,0,4,0
ps14,it.polimi.ingsw.ps14,City,78,0,4,0,22,0,12,0,10,0
ps14,it.polimi.ingsw.ps14,Region,24,0,0,0,9,0,6,0,6,0
ps14,it.polimi.ingsw.ps14,Main,3,0,0,0,1,0,1,0,1,0
ps14,it.polimi.ingsw.ps14,GameLogic,432,0,46,0,64,0,29,0,6,0
ps14,it.polimi.ingsw.ps14,App,7,0,0,0,3,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,ColorCity,70,0,0,0,6,0,4,0,4,0
ps14,it.polimi.ingsw.ps14,NobilityTrack,12,0,0,0,4,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,Connection,4,0,0,0,3,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,Market,20,0,0,0,6,0,4,0,4,0
ps14,it.polimi.ingsw.ps14,BusinessDeck,32,0,0,0,10,0,3,0,3,0
ps14,it.polimi.ingsw.ps14,Setting,4,0,0,0,3,0,2,0,2,0
ps14,it.polimi.ingsw.ps14,Balcony,31,0,2,0,8,0,4,0,3,0
ps14,it.polimi.ingsw.ps14,Bonus,39,0,0,0,14,0,7,0,7,0
ps14,it.polimi.ingsw.ps14,PoliticDeck,111,0,6,0,21,0,7,0,4,0
ps14,it.polimi.ingsw.ps14,Player,192,0,4,0,57,0,25,0,23,0
